DT_REFER;DENOM_CIA;Ativo Circulante;Ativo Não Circulante;Ativo Total;Passivo Circulante;Passivo Não Circulante;Passivo Total;Patrimônio Líquido Consolidado;passivo
2012-12-31;UNIPAR CARBOCLORO S.A.;363697.0;405876.0;769573.0;184225.0;173442.0;769573.0;411906.0;357667.0
2012-12-31;VALE S.A.;46039617.0;220882037.0;266921654.0;25668298.0;85620140.0;266921654.0;155633216.0;111288438.0
2012-12-31;VALID SOLUÇÕES S.A.;441939.0;666642.0;1108581.0;282810.0;313322.0;1108581.0;512449.0;596132.0
2012-12-31;VIX LOGÍSTICA S/A;209646.0;594469.0;804115.0;139897.0;456595.0;804115.0;207623.0;596492.0
2012-12-31;VULCABRAS S.A.;765818.0;609622.0;1375440.0;659513.0;710278.0;1375440.0;5649.0;1369791.0
2012-12-31;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;324654.0;333484.0;658138.0;115665.0;49957.0;658138.0;492516.0;165622.0
2012-12-31;YDUQS PARTICIPACOES S.A.;511227.0;728583.0;1239810.0;193312.0;339463.0;1239810.0;707035.0;532775.0
2013-03-31;COSAN S.A.;6563643.0;27236392.0;33800035.0;4710438.0;15693925.0;33800035.0;13395672.0;20404363.0
2013-12-31;ALIANSCE SONAE SHOPPING CENTERS S.A.;481589.0;4048448.0;4530037.0;224475.0;1341003.0;4530037.0;2964559.0;1565478.0
2013-12-31;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;264560.0;585392.0;849952.0;133874.0;207936.0;849952.0;508142.0;341810.0
2013-12-31;ALUPAR INVESTIMENTO S/A;2119759.0;6240396.0;8360155.0;1174651.0;3083358.0;8360155.0;4102146.0;4258009.0
2013-12-31;AMBEV S.A.;20470013.0;48204006.0;68674019.0;17180582.0;7496039.0;68674019.0;43997398.0;24676621.0
2013-12-31;B3 S.A. - BRASIL, BOLSA, BALCÃO;4319483.0;21577176.0;25896659.0;2710846.0;3886921.0;25896659.0;19298892.0;6597767.0
2013-12-31;BB SEGURIDADE PARTICIPAÇÕES S.A.;2558051.0;6227427.0;8785478.0;1570228.0;273977.0;8785478.0;6941273.0;1844205.0
2013-12-31;BR PROPERTIES S.A.;1420811.0;14042411.0;15463222.0;1170384.0;6581673.0;15463222.0;7711165.0;7752057.0
2013-12-31;BRASKEM S.A.;14997128.0;33348955.0;48346083.0;13594801.0;27069948.0;48346083.0;7681334.0;40664749.0
2013-12-31;BRF S.A.;13242523.0;19132046.0;32374569.0;8436031.0;9242384.0;32374569.0;14696154.0;17678415.0
2013-12-31;CCR S.A.;1824915.0;12208095.0;14033010.0;3346299.0;7201170.0;14033010.0;3485541.0;10547469.0
2013-12-31;CIA SIDERURGICA NACIONAL;16402042.0;34000497.0;50402539.0;5564230.0;36769250.0;50402539.0;8069059.0;42333480.0
2013-12-31;CIA TECIDOS SANTANENSE;209818.0;207088.0;416906.0;89425.0;55061.0;416906.0;272420.0;144486.0
2013-12-31;COGNA EDUCAÇÃO S.A.;835079.0;3244083.0;4079162.0;479092.0;981381.0;4079162.0;2618689.0;1460473.0
2013-12-31;CONSTRUTORA ADOLPHO LINDENBERG S.A.;14510.0;20062.0;34572.0;12151.0;12383.0;34572.0;10038.0;24534.0
2013-12-31;COSAN S.A.;3546641.0;25051732.0;28598373.0;2637257.0;12445746.0;28598373.0;13515370.0;15083003.0
2013-12-31;CPFL ENERGIAS RENOVÁVEIS S.A.;1040470.0;8454766.0;9495236.0;1082808.0;4834188.0;9495236.0;3578240.0;5916996.0
2013-12-31;DOHLER S.A.;275335.0;302068.0;577403.0;57429.0;79684.0;577403.0;440290.0;137113.0
2013-12-31;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;1366878.0;5133890.0;6500768.0;1165859.0;3236880.0;6500768.0;2098029.0;4402739.0
2013-12-31;EMBPAR PARTICIPAÇÕES S/A;202707.0;149299.0;352006.0;258161.0;131053.0;352006.0;-37208.0;389214.0
2013-12-31;EMBRAER S.A.;13511893.0;10248417.0;23760310.0;6776676.0;8474625.0;23760310.0;8509009.0;15251301.0
2013-12-31;ENAUTA PARTICIPAÇÕES S.A.;1284223.0;1755098.0;3039321.0;233704.0;396560.0;3039321.0;2409057.0;630264.0
2013-12-31;ENGIE BRASIL ENERGIA S.A.;2338458.0;10315939.0;12654397.0;2183704.0;5106082.0;12654397.0;5364611.0;7289786.0
2013-12-31;GERDAU S.A.;18177222.0;40037818.0;58215040.0;7236630.0;18957653.0;58215040.0;32020757.0;26194283.0
2013-12-31;HIDROVIAS DO BRASIL S.A.;143554.0;588091.0;731645.0;79802.0;138174.0;731645.0;513669.0;217976.0
2013-12-31;HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL;54474.0;483485.0;537959.0;159403.0;433249.0;537959.0;-54693.0;592652.0
2013-12-31;IGUA SANEAMENTO S.A.;258435.0;1107980.0;1366415.0;564437.0;531616.0;1366415.0;270362.0;1096053.0
2013-12-31;JSL S.A.;2040270.0;3789828.0;5830098.0;1447064.0;3368375.0;5830098.0;1014659.0;4815439.0
2013-12-31;KLABIN S.A.;4826148.0;10093348.0;14919496.0;1779513.0;7747316.0;14919496.0;5392667.0;9526829.0
2013-12-31;MANGELS INDUSTRIAL S.A.;192593.0;256022.0;448615.0;540903.0;17771.0;448615.0;-110059.0;558674.0
2013-12-31;MOURA DUBEUX ENGENHARIA S/A;1343806.0;874604.0;2218410.0;525605.0;1078660.0;2218410.0;614145.0;1604265.0
2013-12-31;OMEGA GERAÇÃO S.A.;77372.0;626375.0;703747.0;49537.0;250866.0;703747.0;403344.0;300403.0
2013-12-31;OSX BRASIL S.A.;3882276.0;4660326.0;8542602.0;5594240.0;744807.0;8542602.0;2203555.0;6339047.0
2013-12-31;PADTEC HOLDING S.A.;640376.0;252515.0;892891.0;665191.0;78892.0;892891.0;148808.0;744083.0
2013-12-31;PBG S/A;433732.0;471176.0;904908.0;352485.0;360566.0;904908.0;191857.0;713051.0
2013-12-31;PETRO RIO S.A.;673250.0;1132029.0;1805279.0;223804.0;126877.0;1805279.0;1454598.0;350681.0
2013-12-31;POSITIVO TECNOLOGIA S.A.;1518068.0;361666.0;1879734.0;1010862.0;223144.0;1879734.0;645728.0;1234006.0
2013-12-31;RAIA DROGASIL S.A.;1903575.0;1710518.0;3614093.0;1020004.0;267106.0;3614093.0;2326983.0;1287110.0
2013-12-31;REDE ENERGIA PARTICIPAÇÕES S.A.;189908.0;2598237.0;2788145.0;2029223.0;1413541.0;2788145.0;-654619.0;3442764.0
2013-12-31;RNI NEGÓCIOS IMOBILIÁRIOS S.A.;1651185.0;505779.0;2156964.0;643345.0;554242.0;2156964.0;959377.0;1197587.0
2013-12-31;RUMO S.A.;4308325.0;14573391.0;18881716.0;2821154.0;11462287.0;18881716.0;4598275.0;14283441.0
2013-12-31;SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL;949363.0;376666.0;1326029.0;549896.0;260392.0;1326029.0;515741.0;810288.0
2013-12-31;SER EDUCACIONAL S.A.;406410.0;396955.0;803365.0;92442.0;259557.0;803365.0;451366.0;351999.0
